Country,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom to make life choices,Perceptions of corruption,Generosity,Social support,Year
Indonesia,5.399,0.82827,0.63793,0.46611,0.0,0.51535,1.08708,2015
Vietnam,5.36,0.63216,0.74676,0.59444,0.10441,0.1686,0.91226,2015
Turkey,5.332,1.06098,0.73172,0.22815,0.15746,0.12253,0.94632,2015
Kyrgyzstan,5.286,0.47428,0.65088,0.43477,0.04232,0.3003,1.15115,2015
Nigeria,5.268,0.65435,0.16007,0.34334,0.0403,0.27233,0.90432,2015
Bhutan,5.253,0.77042,0.57407,0.53206,0.15445,0.47998,1.10395,2015
Azerbaijan,5.212,1.02389,0.64045,0.3703,0.16065,0.07799,0.93793,2015
Pakistan,5.194,0.59543,0.51466,0.12102,0.10464,0.33671,0.41411,2015
Jordan,5.192,0.90198,0.69639,0.40661,0.14293,0.11053,1.05392,2015
Montenegro,5.192,0.97438,0.72521,0.1826,0.14296,0.1614,0.90557,2015
China,5.14,0.89012,0.81658,0.51697,0.02781,0.08185,0.94675,2015
Zambia,5.129,0.47038,0.29924,0.48827,0.12468,0.19591,0.91612,2015
Romania,5.124,1.04345,0.7689,0.35068,0.00649,0.13748,0.88588,2015
Serbia,5.123,0.92053,0.74836,0.20107,0.02617,0.19231,1.00964,2015
Portugal,5.102,1.15991,0.87519,0.51469,0.01078,0.13719,1.13935,2015
Latvia,5.098,1.11312,0.72437,0.29671,0.06332,0.18226,1.09562,2015
Philippines,5.073,0.70532,0.58114,0.62545,0.12279,0.24991,1.03516,2015
Somaliland region,5.057,0.18847,0.43873,0.46582,0.39928,0.50318,0.95152,2015
Morocco,5.013,0.73479,0.60954,0.41691,0.08546,0.07172,0.64095,2015
Macedonia,5.007,0.91851,0.73545,0.33457,0.05327,0.22359,1.00232,2015
Mozambique,4.971,0.08308,0.09131,0.34037,0.15603,0.22269,1.02626,2015
Albania,4.959,0.87867,0.81325,0.35733,0.06413,0.14272,0.80434,2015
Bosnia and Herzegovina,4.949,0.83223,0.79081,0.09245,0.00227,0.24808,0.91916,2015
Lesotho,4.898,0.37545,0.07612,0.31767,0.12504,0.16388,1.04103,2015
Dominican Republic,4.885,0.89537,0.66825,0.57672,0.14234,0.21684,1.17202,2015
Laos,4.876,0.59066,0.54909,0.59591,0.24249,0.42192,0.73803,2015
Mongolia,4.874,0.82819,0.60268,0.43626,0.02666,0.3323,1.3006,2015
Swaziland,4.867,0.71206,0.07566,0.30658,0.0306,0.18259,1.07284,2015
Greece,4.857,1.15406,0.88213,0.07699,0.01397,0.0,0.92933,2015
Lebanon,4.839,1.02564,0.83947,0.33916,0.04582,0.21854,0.80001,2015
Hungary,4.8,1.12094,0.75905,0.32112,0.02758,0.128,1.20215,2015
Honduras,4.788,0.59532,0.6951,0.40148,0.06825,0.23027,0.95348,2015
Tajikistan,4.786,0.39047,0.57379,0.47216,0.15072,0.22974,0.85563,2015
Tunisia,4.739,0.88113,0.73793,0.26268,0.06358,0.06431,0.60429,2015
Palestinian Territories,4.715,0.59867,0.66015,0.24499,0.12905,0.11251,0.92558,2015
Bangladesh,4.694,0.39753,0.60164,0.4082,0.12569,0.21222,0.43106,2015
Iran,4.686,1.0088,0.69805,0.30033,0.05863,0.38086,0.54447,2015
Ukraine,4.681,0.79907,0.6739,0.25123,0.02961,0.15275,1.20278,2015
Iraq,4.677,0.98549,0.60237,0.0,0.13788,0.17922,0.81889,2015
South Africa,4.642,0.92049,0.27688,0.33207,0.08884,0.11973,1.18468,2015
